epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.6077,0.97383,2.89223,1.17652,0,0,0,0,0,19.8125,0,0.00031438,0.00031438,0.00031438
2,9.13066,0.97986,1.74768,1.17991,0,0,0,0,0,23.1875,0,0.000636684,0.000636684,0.000636684
3,13.638,0.95614,1.27861,1.14793,0,0,0,0,0,30.9219,0,0.00095248,0.00095248,0.00095248
4,18.1499,0.96168,1.14139,1.1125,0,0,0,0,0,36.4688,0,0.00126177,0.00126177,0.00126177
5,22.6661,0.97379,1.11199,1.12071,0,0,0,0,0,200.375,0,0.00137241,0.00137241,0.00137241
6,27.2042,0.94357,1.04321,1.10302,0,0,0,0,0,185.75,0,0.00135826,0.00135826,0.00135826
7,31.754,0.91706,0.98677,1.08901,0,0,0,0,0,214.625,0,0.00134412,0.00134412,0.00134412
8,36.3082,0.9365,0.95412,1.1043,0,0,0,0,0,220.25,0,0.00132997,0.00132997,0.00132997
9,40.887,0.88511,0.91614,1.08023,0,0,0,0,0,282.25,0,0.00131582,0.00131582,0.00131582
10,45.4631,0.88236,0.88121,1.07308,0,0,0,0,0,287.5,0,0.00130168,0.00130168,0.00130168
11,50.0717,0.90001,0.86669,1.09108,0,0,0,0,0,260,0,0.00128753,0.00128753,0.00128753
12,54.6713,0.86365,0.82252,1.06045,0,0,0,0,0,297.5,0,0.00127338,0.00127338,0.00127338
13,59.2753,0.86706,0.81723,1.06752,0,0,0,0,0,242.375,0,0.00125923,0.00125923,0.00125923
14,63.8944,0.85341,0.7896,1.06086,0,0,0,0,0,172.5,0,0.00124509,0.00124509,0.00124509
15,68.4904,0.82838,0.78527,1.05219,0,0,0,0,0,156.25,0,0.00123094,0.00123094,0.00123094
16,73.1137,0.8338,0.74478,1.03447,0,0,0,0,0,226,0,0.00121679,0.00121679,0.00121679
17,77.7253,0.83993,0.74743,1.04811,0,0,0,0,0,171.25,0,0.00120265,0.00120265,0.00120265
18,82.3545,0.85619,0.75837,1.06986,0,0,0,0,0,191.25,0,0.0011885,0.0011885,0.0011885
